filename,zone
PXDQWD5A3X_chipid2638.tiff,EASTERN DRY
R7AG06O71K_chipid1036.tiff,EASTERN DRY
7C65X5CF28_chipid1776.tiff,CENTRAL DRY
3A9JUMO23K_chipid5707.tiff,NORTHERN DRY
Y9VBUUUEME_chipid638.tiff,EASTERN DRY
33I13H8UTA_chipid7050.tiff,NORTHERN DRY
AHXFA1ICF6_chipid3915.tiff,CENTRAL DRY
D1CGA3UZKS_chipid5379.tiff,SOUTHERN TRANSITION
KHJHQM35OY_chipid3662.tiff,WESTERN TRANSITION
BLXEB41GFZ_chipid3194.tiff,COASTAL
28O6C11K95_chipid2919.tiff,CENTRAL DRY
WKXB9MPJET_chipid2485.tiff,EASTERN DRY
KH7UV0BLVN_chipid4190.tiff,CENTRAL DRY
TUWCTN5K8M_chipid6199.tiff,COASTAL
VTQ753MRVS_chipid3696.tiff,WESTERN TRANSITION
199H0JOW49_chipid7848.tiff,NORTHERN DRY
8BX0QMA9I6_chipid2087.tiff,EASTERN DRY
1I210DXKUK_chipid860.tiff,EASTERN DRY
PZLQAZBT9S_chipid4996.tiff,HILL
1PA8A1FVIU_chipid3305.tiff,COASTAL
86GWHEPD4K_chipid1483.tiff,CENTRAL DRY
YN612WR3QY_chipid5358.tiff,SOUTHERN TRANSITION
UOHQ3D7CY3_chipid5484.tiff,COASTAL
245VHP41OO_chipid1654.tiff,WESTERN TRANSITION
VXNXDXQ6LX_chipid7586.tiff,NORTH EAST DRY
WZ7ZADYISY_chipid7622.tiff,CENTRAL DRY
VNCLZ0ATYW_chipid2952.tiff,CENTRAL DRY
KIVWJXMNZW_chipid1870.tiff,CENTRAL DRY
QOCHRNUGQI_chipid5685.tiff,NORTHERN DRY
6WSATV0OMC_chipid7739.tiff,COASTAL
GMSUHDHKWU_chipid4745.tiff,NORTH EAST DRY
L4M4ZR7XBC_chipid3365.tiff,COASTAL
XTIP7BG85Q_chipid7765.tiff,NORTH EAST DRY
MOYE8JOTQA_chipid7435.tiff,SOUTHERN TRANSITION
WTESSF3EAA_chipid6374.tiff,COASTAL
OG95Q0FLWZ_chipid5899.tiff,NORTHERN DRY
NDYA3PQ7WO_chipid5572.tiff,SOUTHERN TRANSITION
ARRJI5NW8S_chipid3577.tiff,COASTAL
BN5Y0U7PPJ_chipid5590.tiff,SOUTHERN TRANSITION
CAYMS2ZMIO_chipid5922.tiff,NORTHERN DRY
AGGIQ5VQH9_chipid7709.tiff,COASTAL
VL2S9QA57R_chipid1073.tiff,EASTERN DRY
6PAATBF3TM_chipid1298.tiff,CENTRAL DRY
7I1QVCOUFP_chipid5028.tiff,NORTH EAST DRY
8WSAZ5365G_chipid3323.tiff,COASTAL
OT97P31OI2_chipid6527.tiff,NORTH EAST DRY
NV6AYO79OB_chipid7056.tiff,NORTHERN DRY
6YR7SJSBG4_chipid6188.tiff,COASTAL
3EWCC8EEMJ_chipid4558.tiff,NORTH EAST DRY
83GJVSMVKJ_chipid6726.tiff,UNKNOWN
B4ZGEK6LX2_chipid1366.tiff,CENTRAL DRY
KR0RMSHWAT_chipid5084.tiff,NORTH EAST DRY
IK22XJK83E_chipid5422.tiff,SOUTHERN TRANSITION
SWUC3FMZ3G_chipid3929.tiff,CENTRAL DRY
0VQ1DO8P61_chipid7939.tiff,WESTERN TRANSITION
3THKQ4ZUGT_chipid2977.tiff,CENTRAL DRY
Z16KEX3IDV_chipid2078.tiff,EASTERN DRY
KHWU644CNO_chipid2059.tiff,EASTERN DRY
LTQXWHW7S6_chipid6566.tiff,CENTRAL DRY
YZKK6Q28OY_chipid551.tiff,SOUTHERN DRY
78Y1ADPO2F_chipid8018.tiff,COASTAL
5ZF0ANY60J_chipid7562.tiff,HILL
O6GHTUW7PC_chipid2003.tiff,EASTERN DRY
7TGQJYTFSG_chipid4337.tiff,NORTH EAST DRY
9QQTW8HB3Q_chipid3190.tiff,SOUTHERN DRY
5B151R1KIA_chipid5454.tiff,SOUTHERN TRANSITION
QRM7ZM3CKU_chipid4570.tiff,NORTH EAST DRY
PATQ3TG945_chipid1904.tiff,EASTERN DRY
3NK9SNCFWW_chipid1867.tiff,CENTRAL DRY
2SMM4FEL48_chipid7114.tiff,WESTERN TRANSITION
WA7T2747XR_chipid7766.tiff,NORTH EAST DRY
ZCDS2ZMATW_chipid4424.tiff,NORTH EAST DRY
UJ80VONEN3_chipid2488.tiff,EASTERN DRY
S0EWOSPT6O_chipid5696.tiff,NORTHERN DRY
T97USWY5RY_chipid7686.tiff,COASTAL
ACR7SOSWPN_chipid4362.tiff,NORTH EAST DRY
4JR8YEGG1D_chipid6341.tiff,NORTH EAST DRY
O52H2PWWLV_chipid1649.tiff,WESTERN TRANSITION
1LG9DU6FHU_chipid7482.tiff,CENTRAL DRY
